시도,구시군,시장명,시장주소,2010_개설주기,2010_등록_인정 여부,2010_영업점포,2010_공동화장실 보유여부,2010_고객 주차장 보유여부
부산,중구,자갈치시장,부산 중구 남포동 4가 37-1번지                ,상설,등록,280,보유,보유
부산,중구,(유)대덕도매시장,부산 중구 신창동 2가 11,상설,등록,18,보유,미보유
부산,중구,(사)국제시장,부산 중구 신창동 4-38,상설,등록,494,보유,미보유
부산,중구,남포동건어물도매시장,부산 중구 남포동 1가 61,상설,인정,160,보유,미보유
부산,중구,만물의 거리,부산 중구 신창동 4가 12-1,상설,인정,60,미보유,미보유
부산,중구,부평시장,부산 중구 부평동 2가 68-9,상설,인정,994,보유,미보유
부산,중구,(사)창선상가,부산 중구 창선동 2가 30,상설,등록,130,보유,미보유
부산,중구,새 영주시장,부산 중구 영주1동 20-15,상설,인정,66,미보유,미보유
부산,중구,(사)신동아수산물종합시장,부산 중구 남포동 5가 92번지,상설,등록,172,보유,보유
부산,중구,(사)신천지시장,부산 중구 남포동 6가 3,상설,등록,86,보유,미보유
부산,중구,월드밸리 ,부산 중구 부평동 2가 2,상설,등록,110,보유,보유
부산,서구,충무시장,부산 서구 남부민동 643,상설,등록,15,보유,보유
부산,서구,대신시장,부산 서구 동대신동1가 113-1,상설,등록,85,보유,미보유
부산,서구,동대신1동 골목시장,부산 서구 동대신동 129번지 일원,상설,인정,72,미보유,미보유
부산,서구,서대신동골목시장,부산 서구 서대신동2가 108번지 일원,상설,인정,109,미보유,미보유
부산,서구,송남시장,부산 서구 암남동 346-2,상설,등록,36,보유,보유
부산,서구,아미동골목시장,부산 서구 아미동 2가 96-11번지 일원,상설,인정,40,미보유,미보유
부산,서구,충무동 골목시장,부산 서구 충무동2가 29번지 일원,상설,인정,187,미보유,미보유
부산,서구,충무동 해안시장,부산 서구 충무동1가 1-75번지 일원,상설,인정,169,보유,미보유
부산,서구,충무동새벽시장,부산 서구 남부민동 684번지 일원,상설,인정,205,보유,미보유
부산,동구,(사)수정시장,부산 동구 수정2동 170-1,상설,등록,56,보유,보유
부산,동구,(사)자유시장,부산 동구 범일2동 830-24,상설,등록,1479,보유,보유
부산,동구,(사)초량시장,부산 동구 초량2동 200-3,상설,인정,91,보유,미보유
부산,동구,(사)부산진 남문시장,부산 동구 범일2동291,상설,등록,203,보유,미보유
부산,동구,(사)부산진시장,부산 동구 범일2동 290,상설,등록,1300,보유,보유
부산,동구,수정재래시장,부산 동구 수정2동 248-3,상설,인정,128,미보유,미보유
부산,동구,초량전통시장,부산 동구 초량동 216-2,상설,인정,83,미보유,미보유
부산,영도구,남항시장,"부산 영도구 남항1가, 영선1가.2가 일원(남항1가 217-3번지외)",상설,인정,272,보유,보유
부산,영도구,영도봉래시장,부산 영도구 봉래2가.3가 일원(봉래2가 31-1번지외),상설,인정,122,미보유,미보유
부산,영도구,청학시장,부산 영도구 청학동 297-1번지 일원,상설,인정,82,보유,미보유
부산,부산진구,(사)부전시장,부산 부산진구 부전동 573,상설,등록,323,보유,미보유
부산,부산진구,서면종합시장,부산 부산진구 부천1동 347-40,상설,등록,205,보유,보유
부산,부산진구,(주)동아종합시장,부산 부산진구 개금동 156-2,상설,등록,100,보유,보유
부산,부산진구,(주)부전인삼시장,부산 부산진구 부전동 573-26,상설,등록,62,보유,미보유
